Provider Number,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia
12803,11.4,No Different than U.S. National Rate,8.7,14.9,214,21,No Different than U.S. National Rate,17.4,24.9,231
12804,13.7,No Different than U.S. National Rate,11.1,16.8,351,21.2,No Different than U.S. National Rate,17.9,24.7,355
12805,14.8,No Different than U.S. National Rate,11.3,19.3,113,19.9,No Different than U.S. National Rate,16.1,24.5,115
12806,9.9,No Different than U.S. National Rate,7.5,13.1,156,18.2,No Different than U.S. National Rate,14.9,22,160
12807,11.3,No Different than U.S. National Rate,8.8,14.2,270,18.5,No Different than U.S. National Rate,15.6,21.6,299
12808,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12809,10.1,Better than U.S. National Rate,8.8,11.6,1245,20.8,Worse than U.S. National Rate,18.8,22.9,1256
12810,11.1,No Different than U.S. National Rate,9.4,13,770,22.8,Worse than U.S. National Rate,20.3,25.1,760
12811,13.4,No Different than U.S. National Rate,9.8,18.1,109,20.1,No Different than U.S. National Rate,16.1,24.7,111
12812,11.5,No Different than U.S. National Rate,8.7,15,193,22.2,No Different than U.S. National Rate,18.4,26.1,217
12813,12.8,No Different than U.S. National Rate,10.7,15.4,525,19.3,No Different than U.S. National Rate,16.5,22.2,507
12814,12.2,No Different than U.S. National Rate,9.6,15.4,280,17.7,No Different than U.S. National Rate,14.8,21.3,284
12815,10.5,No Different than U.S. National Rate,8.2,13.2,345,18.9,No Different than U.S. National Rate,16.1,22,352
12816,11,No Different than U.S. National Rate,8.1,14.5,96,19.2,No Different than U.S. National Rate,15.6,23.7,105
12817,12.7,No Different than U.S. National Rate,10.7,15,557,19.5,No Different than U.S. National Rate,16.9,22.1,537
12818,9.2,Better than U.S. National Rate,7.2,11.6,351,22.2,Worse than U.S. National Rate,19,25.8,377
12819,14.1,No Different than U.S. National Rate,11.2,17.5,306,20.3,No Different than U.S. National Rate,17,24.1,306
12820,14.1,No Different than U.S. National Rate,11.3,17.4,306,18.7,No Different than U.S. National Rate,15.5,22.2,322
12821,Not Available,Number of Cases Too Small,Not Available,Not Available,20,Not Available,Number of Cases Too Small,Not Available,Not Available,21
12822,12.3,No Different than U.S. National Rate,10.6,14.3,764,19.2,No Different than U.S. National Rate,16.9,21.8,755
12823,11.2,No Different than U.S. National Rate,9.7,12.9,1022,21.5,Worse than U.S. National Rate,19.2,23.8,987
12824,10.1,No Different than U.S. National Rate,8.2,12.3,421,19.2,No Different than U.S. National Rate,16.6,22.2,454
12825,12,No Different than U.S. National Rate,8.1,17.1,61,17.9,No Different than U.S. National Rate,13.8,23.3,55
12826,11.8,No Different than U.S. National Rate,9.4,14.6,341,21.2,No Different than U.S. National Rate,18.3,24.8,370
12827,11.5,No Different than U.S. National Rate,8.9,14.7,270,19.4,No Different than U.S. National Rate,16.2,22.8,281
12828,11.2,No Different than U.S. National Rate,9,13.7,339,17.4,No Different than U.S. National Rate,14.5,20.7,313
12829,10.8,No Different than U.S. National Rate,8.8,13.2,445,16.2,No Different than U.S. National Rate,13.8,19.4,437
12830,12.2,No Different than U.S. National Rate,9.4,15.5,225,19.8,No Different than U.S. National Rate,16.2,23.7,211
12831,10,No Different than U.S. National Rate,8.2,12.2,536,18.2,No Different than U.S. National Rate,15.7,21,514
12832,11.9,No Different than U.S. National Rate,9.2,15.4,207,18.2,No Different than U.S. National Rate,14.9,21.8,202
12833,10.4,No Different than U.S. National Rate,8.4,12.6,524,17.8,No Different than U.S. National Rate,15.5,20.7,521
12834,15.9,Worse than U.S. National Rate,13.2,18.9,338,20.6,No Different than U.S. National Rate,17.5,24,297
12835,7.4,Better than U.S. National Rate,6.3,8.9,833,19,No Different than U.S. National Rate,16.9,21.3,848
12836,12.4,No Different than U.S. National Rate,10.2,15,410,18.8,No Different than U.S. National Rate,16,22.1,398
12837,10.1,No Different than U.S. National Rate,7.9,12.9,248,20.7,No Different than U.S. National Rate,17.4,24.4,238
12838,10.5,No Different than U.S. National Rate,7.8,13.7,239,19.1,No Different than U.S. National Rate,15.8,22.8,256
12839,11.8,No Different than U.S. National Rate,9.8,14.2,500,20.9,No Different than U.S. National Rate,18,24.1,482
12840,12.4,No Different than U.S. National Rate,8.4,18.1,35,18.5,No Different than U.S. National Rate,14.3,23.5,33
12841,12.2,No Different than U.S. National Rate,9.5,15.7,231,21.1,No Different than U.S. National Rate,17.5,25.1,237
12842,10.3,No Different than U.S. National Rate,8.1,12.9,226,21.7,No Different than U.S. National Rate,18.3,25.3,216
12843,13.6,No Different than U.S. National Rate,10.1,17.5,100,21.5,No Different than U.S. National Rate,17,26.3,94
12844,13.9,No Different than U.S. National Rate,11.7,16.5,554,19.7,No Different than U.S. National Rate,17.1,22.8,539
12845,10.9,No Different than U.S. National Rate,8,15,98,19.6,No Different than U.S. National Rate,15.5,24.1,114
12846,9.8,No Different than U.S. National Rate,7.3,13,189,18.4,No Different than U.S. National Rate,15.3,22.2,192
12847,9.4,Better than U.S. National Rate,7.3,11.9,411,21,No Different than U.S. National Rate,17.8,24.4,408
12848,12.4,No Different than U.S. National Rate,9.4,15.9,167,18.5,No Different than U.S. National Rate,15.2,22.4,180
12849,10.3,No Different than U.S. National Rate,7.3,14.1,111,17.2,No Different than U.S. National Rate,13.7,21.5,111
12850,7.7,Better than U.S. National Rate,6.3,9.4,566,16.7,No Different than U.S. National Rate,14.5,19.4,583
12851,12,No Different than U.S. National Rate,9.3,15.4,238,19.8,No Different than U.S. National Rate,16.4,23.5,226
12852,13.5,No Different than U.S. National Rate,11,16.6,365,19.2,No Different than U.S. National Rate,16.4,22.8,354
12853,12.1,No Different than U.S. National Rate,8.6,16.6,74,18.4,No Different than U.S. National Rate,14.8,22.8,72
12854,10.9,No Different than U.S. National Rate,8.3,14.2,212,22.8,Worse than U.S. National Rate,19,26.8,205
12855,11.1,No Different than U.S. National Rate,9,13.6,384,17.5,No Different than U.S. National Rate,14.7,20.7,385
12856,15.7,No Different than U.S. National Rate,11.9,20.2,185,22.4,No Different than U.S. National Rate,18.4,26.8,186
12857,10.9,No Different than U.S. National Rate,8.3,14.4,184,18.9,No Different than U.S. National Rate,15.5,22.7,195
12858,12.3,No Different than U.S. National Rate,9.8,15.4,244,20,No Different than U.S. National Rate,16.7,23.8,223
12859,9.2,No Different than U.S. National Rate,6.9,12.3,249,19.8,No Different than U.S. National Rate,16.6,23.4,252
12860,11.6,No Different than U.S. National Rate,8.6,15.6,123,17.4,No Different than U.S. National Rate,13.9,21.6,117
12861,10.8,No Different than U.S. National Rate,7.7,14.7,75,20.6,No Different than U.S. National Rate,16.7,25.5,74
12862,13.1,No Different than U.S. National Rate,10.1,17,194,17.4,No Different than U.S. National Rate,14.3,21.3,188
12863,11.5,No Different than U.S. National Rate,8.6,15,121,20.2,No Different than U.S. National Rate,16.5,24.3,116
12864,12.1,No Different than U.S. National Rate,8.8,16.5,118,20.6,No Different than U.S. National Rate,16.9,25,116
12865,11.7,No Different than U.S. National Rate,9.5,14.3,431,18.9,No Different than U.S. National Rate,16.1,22.1,443
12866,10.4,No Different than U.S. National Rate,8.5,12.4,528,21.5,No Different than U.S. National Rate,18.5,24.4,515
12867,9.9,No Different than U.S. National Rate,7,13.6,151,17.8,No Different than U.S. National Rate,14.4,21.8,159
12868,11.9,No Different than U.S. National Rate,9.3,15.4,314,16,No Different than U.S. National Rate,13.3,19.6,310
12869,12.2,No Different than U.S. National Rate,8.5,17,49,19.3,No Different than U.S. National Rate,15.2,24.4,51
12870,12,No Different than U.S. National Rate,9.2,15.4,196,19.6,No Different than U.S. National Rate,16.4,23.4,209
12871,10.5,No Different than U.S. National Rate,8.5,12.8,521,20.1,No Different than U.S. National Rate,17.6,22.9,530
12872,13.2,No Different than U.S. National Rate,10.1,17.1,153,20.4,No Different than U.S. National Rate,16.6,24.6,144
12873,15.4,No Different than U.S. National Rate,11.6,19.7,187,18,No Different than U.S. National Rate,14.8,22,182
12874,12.3,No Different than U.S. National Rate,9.9,15.5,334,22.4,Worse than U.S. National Rate,19,25.7,352
12875,11.1,No Different than U.S. National Rate,9.2,13.3,655,20.7,No Different than U.S. National Rate,18,23.5,654
12876,15.3,Worse than U.S. National Rate,12.5,18.8,265,19.1,No Different than U.S. National Rate,16,22.7,247
12877,12.3,No Different than U.S. National Rate,9.7,15.4,247,16.6,No Different than U.S. National Rate,13.7,20.3,234
12878,12.9,No Different than U.S. National Rate,9.3,17.7,95,18.2,No Different than U.S. National Rate,14.4,22.6,96
12879,11.9,No Different than U.S. National Rate,9.8,14.3,477,20.6,No Different than U.S. National Rate,17.8,23.4,488
12880,11.5,No Different than U.S. National Rate,8.5,15.1,142,19.4,No Different than U.S. National Rate,15.8,23.3,144
12881,10.8,No Different than U.S. National Rate,8.5,13.7,287,20.8,No Different than U.S. National Rate,17.6,24.3,290
12882,11,No Different than U.S. National Rate,8.2,14.7,126,17.3,No Different than U.S. National Rate,13.8,21.3,137
12883,Not Available,Number of Cases Too Small,Not Available,Not Available,1,Not Available,Number of Cases Too Small,Not Available,Not Available,1
12884,9.9,No Different than U.S. National Rate,7.6,12.7,286,19.3,No Different than U.S. National Rate,16.1,22.7,295
12885,13.3,No Different than U.S. National Rate,9.9,17.2,182,19.3,No Different than U.S. National Rate,15.9,23.4,205
12886,10.7,No Different than U.S. National Rate,8.3,13.7,242,19.9,No Different than U.S. National Rate,16.4,23.7,247
12887,12.1,No Different than U.S. National Rate,9.3,15.6,220,17.9,No Different than U.S. National Rate,14.7,21.8,210
12888,13.1,No Different than U.S. National Rate,10.1,16.9,200,21.1,No Different than U.S. National Rate,17.4,25,200
12889,12.6,No Different than U.S. National Rate,10.7,14.7,838,19,No Different than U.S. National Rate,16.7,21.4,801
12890,10.6,No Different than U.S. National Rate,8.6,12.7,654,19.5,No Different than U.S. National Rate,16.9,22.3,650
12891,10,No Different than U.S. National Rate,7.9,12.4,335,19.1,No Different than U.S. National Rate,16.1,22.4,320
12892,13.3,No Different than U.S. National Rate,10.6,16.5,326,16.7,No Different than U.S. National Rate,13.9,19.9,333
12893,13.5,No Different than U.S. National Rate,10.7,16.7,251,22.1,No Different than U.S. National Rate,18.3,25.8,233
12894,10.9,No Different than U.S. National Rate,8.9,13.1,500,18.8,No Different than U.S. National Rate,16.1,21.8,483
12895,11.3,No Different than U.S. National Rate,8.9,14.2,276,17.6,No Different than U.S. National Rate,14.7,21.1,266
12896,10.3,No Different than U.S. National Rate,8.1,12.8,386,19.3,No Different than U.S. National Rate,16.7,22.5,397
12897,11.5,No Different than U.S. National Rate,8.5,15.1,164,20.8,No Different than U.S. National Rate,17,25.1,168
12898,11.8,No Different than U.S. National Rate,10.2,13.5,693,21,No Different than U.S. National Rate,18.3,23.6,644
12899,11.7,No Different than U.S. National Rate,9.4,14.3,319,20.7,No Different than U.S. National Rate,17.3,24.2,300
12900,10.8,No Different than U.S. National Rate,7.4,15.5,35,19.7,No Different than U.S. National Rate,15.4,24.9,34
12901,11.4,No Different than U.S. National Rate,8.9,14.8,224,21,No Different than U.S. National Rate,17.6,24.7,235
12902,11.6,No Different than U.S. National Rate,9.3,14.1,393,21,No Different than U.S. National Rate,18.1,24.1,414
12903,13.7,No Different than U.S. National Rate,11.6,16,698,17.5,No Different than U.S. National Rate,15.3,20.1,704
12904,11.2,No Different than U.S. National Rate,8.6,14.4,198,22.5,Worse than U.S. National Rate,18.7,26.3,187
12905,12.1,No Different than U.S. National Rate,8.6,16.7,75,22.7,No Different than U.S. National Rate,17.9,28.1,82
12906,12.2,No Different than U.S. National Rate,8.6,16.9,61,20.6,No Different than U.S. National Rate,16.3,25.7,52
12907,13,No Different than U.S. National Rate,10,16.8,148,20.1,No Different than U.S. National Rate,16.5,24.2,146
12908,13.1,No Different than U.S. National Rate,11,15.5,518,21.2,No Different than U.S. National Rate,18.4,24.1,492
12909,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12911,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12912,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12913,Not Available,Number of Cases Too Small,Not Available,Not Available,9,Not Available,Number of Cases Too Small,Not Available,Not Available,9
12914,10.6,No Different than U.S. National Rate,7.3,14.9,79,18.7,No Different than U.S. National Rate,14.8,23.4,90
12915,11,No Different than U.S. National Rate,7.3,16.2,27,17.2,No Different than U.S. National Rate,13.3,21.8,28
12916,9.2,No Different than U.S. National Rate,6.3,13.2,71,17.2,No Different than U.S. National Rate,13.5,21.6,72
12917,12.6,No Different than U.S. National Rate,8.8,17.5,62,17.1,No Different than U.S. National Rate,13.4,21.8,62
12918,13.6,No Different than U.S. National Rate,9.8,18.1,64,17.6,No Different than U.S. National Rate,14,22,68
12919,11.4,No Different than U.S. National Rate,7.9,16,32,18,No Different than U.S. National Rate,13.8,23.1,36
12920,10.6,No Different than U.S. National Rate,7.2,15.6,47,17.7,No Different than U.S. National Rate,13.8,22.6,49
12921,11.1,No Different than U.S. National Rate,7.6,16,42,17.8,No Different than U.S. National Rate,13.7,22.7,38
12922,15.3,No Different than U.S. National Rate,11.8,19.3,183,19.3,No Different than U.S. National Rate,15.8,23.3,169
12923,11.5,No Different than U.S. National Rate,8,16,80,18.6,No Different than U.S. National Rate,14.6,23.3,86
12924,12.5,No Different than U.S. National Rate,9.3,16.6,134,19.2,No Different than U.S. National Rate,15.6,23.5,139
12925,12.3,No Different than U.S. National Rate,8.6,17.5,48,18.3,No Different than U.S. National Rate,14.2,23,55
12926,10.3,No Different than U.S. National Rate,8.7,12.1,977,17.6,No Different than U.S. National Rate,15.6,19.9,1054
12927,9.8,Better than U.S. National Rate,8.2,11.6,1049,17.6,No Different than U.S. National Rate,15.7,19.8,1139
12928,9.8,No Different than U.S. National Rate,7.3,13,165,20.4,No Different than U.S. National Rate,16.9,24.4,175
12929,12.3,No Different than U.S. National Rate,10.2,14.7,510,19.3,No Different than U.S. National Rate,16.6,22,518
12930,11.8,No Different than U.S. National Rate,8.7,15.5,161,18.4,No Different than U.S. National Rate,15,22.4,177
12931,12.2,No Different than U.S. National Rate,10,14.6,391,23.1,Worse than U.S. National Rate,19.7,26.6,382
12932,12.9,No Different than U.S. National Rate,10,16.5,271,17,No Different than U.S. National Rate,14.1,20.4,322
12933,12.7,No Different than U.S. National Rate,10.1,15.9,354,20.1,No Different than U.S. National Rate,16.9,23.5,377
12934,12.5,No Different than U.S. National Rate,10.7,14.6,822,17.9,No Different than U.S. National Rate,15.6,20.3,819
12935,15,Worse than U.S. National Rate,12.7,17.6,512,18.5,No Different than U.S. National Rate,15.9,21.5,512
12936,10.7,No Different than U.S. National Rate,8.2,13.8,251,16.4,No Different than U.S. National Rate,13.4,19.9,265
12937,10.3,No Different than U.S. National Rate,8.2,12.6,372,16.5,No Different than U.S. National Rate,13.8,19.6,395
12938,16,Worse than U.S. National Rate,13,19.6,307,18.5,No Different than U.S. National Rate,15.5,21.9,322
12939,14.7,No Different than U.S. National Rate,12,18,390,17.8,No Different than U.S. National Rate,15,21.5,385
12940,12.9,No Different than U.S. National Rate,10,16.6,197,16.1,No Different than U.S. National Rate,13,20.1,207
12941,11.2,No Different than U.S. National Rate,8.5,15,208,17.1,No Different than U.S. National Rate,14.1,20.7,226
12942,12.9,No Different than U.S. National Rate,10.6,15.6,518,18.9,No Different than U.S. National Rate,16.3,21.8,508
12943,10.7,No Different than U.S. National Rate,8.8,12.9,628,21.1,No Different than U.S. National Rate,18.5,23.9,635
